RANK,PROGRAM,NETWORK,RATING,VIEWERS_000,Sample
1,NBC SUNDAY NIGHT FOOTBALL,NBC,10,"17,689",National
2,SUNDAY NIGHT NFL PRE-KICK,NBC,6.4,"11,506",National
3,FOX NFL SUNDAY-PST GN-NAT,FOX,5.9,"10,883",National
4,60 MINUTES,CBS,5.7,"9,662",National
5,DANCING WITH THE STARS,ABC,5.1,"8,132",National
6,FOOTBALL NT AMERICA PT 3,NBC,4.8,"8,430",National
7,ACM AWARDS,CBS,4.1,"6,835",National
8,PRIMETIME EMMY AWARDS,ABC,4,"6,360",National
9,AMERICA'S GOT TALENT-TUE,NBC,3.5,"5,945",National
10,AMERICA'S GOT TALENT-WED,NBC,3.3,"5,330",National
1,QUIEN ES LA MASCARA SUN,UNI,6.8,1980,Hispanic
2,MEDICOS LINEA DE VIDA WED,UNI,5.8,1510,Hispanic
3,MEDICOS LINEA DE VIDA MON,UNI,5.4,1462,Hispanic
4,VENCER EL MIEDO FRI,UNI,5.3,1580,Hispanic
5,TODO POR MI HIJA - T,TEL,5.3,1352,Hispanic
6,TODO POR MI HIJA - R,TEL,5.3,1390,Hispanic
7,MEDICOS LINEA DE VIDA THU,UNI,5.2,1365,Hispanic
8,MEDICOS LINEA DE VID FRI2,UNI,5.2,1347,Hispanic
9,ROSA DE GUADALUPE WED,UNI,5.2,1438,Hispanic
10,TODO POR MI HIJA - F,TEL,5.2,1292,Hispanic
1,NBC SUNDAY NIGHT FOOTBALL,NBC,12.7,2842,African-American
2,FOX NFL SUNDAY-PST GN-NAT,FOX,10.3,2388,African-American
3,SUNDAY NIGHT NFL PRE-KICK,NBC,7.4,1718,African-American
4,DANCING WITH THE STARS,ABC,7,1287,African-American
5,60 MINUTES,CBS,5.9,1237,African-American
6,FOOTBALL NT AMERICA PT 3,NBC,5.7,1297,African-American
7,PRIMETIME EMMY AWARDS,ABC,4.6,926,African-American
8,ABC SP RPT-9/18 7:50PM,ABC,4.1,734,African-American
9,CELEBRITY FAM FEUD-9/17,ABC,4.1,792,African-American
10,20/20-FRI,ABC,3.5,662,African-American
