,rank,program,network,rating,viewers_thou,sample
0,1,NBC SUNDAY NIGHT FOOTBALL,NBC,10.0,17689,National
1,2,SUNDAY NIGHT NFL PRE-KICK,NBC,6.4,11506,National
2,3,FOX NFL SUNDAY-PST GN-NAT,FOX,5.9,10883,National
3,4,60 MINUTES,CBS,5.7,9662,National
4,5,DANCING WITH THE STARS,ABC,5.1,8132,National
5,6,FOOTBALL NT AMERICA PT 3,NBC,4.8,8430,National
6,7,ACM AWARDS,CBS,4.1,6835,National
7,8,PRIMETIME EMMY AWARDS,ABC,4.0,6360,National
8,9,AMERICA'S GOT TALENT-TUE,NBC,3.5,5945,National
9,10,AMERICA'S GOT TALENT-WED,NBC,3.3,5330,National
10,1,QUIEN ES LA MASCARA SUN,UNI,6.8,1980,Hispanic
11,2,MEDICOS LINEA DE VIDA WED,UNI,5.8,1510,Hispanic
12,3,MEDICOS LINEA DE VIDA MON,UNI,5.4,1462,Hispanic
13,4,VENCER EL MIEDO FRI,UNI,5.3,1580,Hispanic
14,5,TODO POR MI HIJA - T,TEL,5.3,1352,Hispanic
15,6,TODO POR MI HIJA - R,TEL,5.3,1390,Hispanic
16,7,MEDICOS LINEA DE VIDA THU,UNI,5.2,1365,Hispanic
17,8,MEDICOS LINEA DE VID FRI2,UNI,5.2,1347,Hispanic
18,9,ROSA DE GUADALUPE WED,UNI,5.2,1438,Hispanic
19,10,TODO POR MI HIJA - F,TEL,5.2,1292,Hispanic
20,1,NBC SUNDAY NIGHT FOOTBALL,NBC,12.7,2842,Black
21,2,FOX NFL SUNDAY-PST GN-NAT,FOX,10.3,2388,Black
22,3,SUNDAY NIGHT NFL PRE-KICK,NBC,7.4,1718,Black
23,4,DANCING WITH THE STARS,ABC,7.0,1287,Black
24,5,60 MINUTES,CBS,5.9,1237,Black
25,6,FOOTBALL NT AMERICA PT 3,NBC,5.7,1297,Black
26,7,PRIMETIME EMMY AWARDS,ABC,4.6,926,Black
27,8,ABC SP RPT-9/18 7:50PM,ABC,4.1,734,Black
28,9,CELEBRITY FAM FEUD-9/17,ABC,4.1,792,Black
29,10,20/20-FRI,ABC,3.5,662,Black
